BuyTime:2021-10-07 01:54:15, BuyPrice:0.12098000, BuyQuantity:122.90000000, BuyType:LONG entry signal 1, SellTime:2021-10-07 02:08:06, SellPrice:0.12063000, SellQuantity:122.90000000, SellType:LONG exit signal 1, Outcome:-0.04301500
BuyTime:2021-10-07 02:24:05, BuyPrice:0.12082000, BuyQuantity:329.60000000, BuyType:LONG entry signal 1, SellTime:2021-10-07 02:24:52, SellPrice:0.12034000, SellQuantity:329.60000000, SellType:LONG exit stop-loss, Outcome:-0.15820800
BuyTime:2021-10-07 02:34:10, BuyPrice:0.12053000, BuyQuantity:329.60000000, BuyType:LONG entry signal 1, SellTime:2021-10-07 02:35:27, SellPrice:0.12005000, SellQuantity:329.60000000, SellType:LONG exit stop-loss, Outcome:-0.15820800
BuyTime:2021-10-07 02:37:05, BuyPrice:0.12028000, BuyQuantity:329.60000000, BuyType:LONG entry signal 1, SellTime:2021-10-07 02:37:54, SellPrice:0.11980000, SellQuantity:329.60000000, SellType:LONG exit stop-loss, Outcome:-0.15820800
BuyTime:2021-10-07 02:50:10, BuyPrice:0.11989000, BuyQuantity:329.60000000, BuyType:LONG entry signal 1, SellTime:2021-10-07 02:51:48, SellPrice:0.11941000, SellQuantity:329.60000000, SellType:LONG exit stop-loss, Outcome:-0.15820800
BuyTime:2021-10-07 02:53:43, BuyPrice:0.11955000, BuyQuantity:329.60000000, BuyType:LONG entry signal 1, SellTime:2021-10-07 02:54:43, SellPrice:0.11907000, SellQuantity:329.60000000, SellType:LONG exit stop-loss, Outcome:-0.15820800
BuyTime:2021-10-07 03:06:06, BuyPrice:0.11952000, BuyQuantity:329.60000000, BuyType:LONG entry signal 1, SellTime:2021-10-07 03:22:13, SellPrice:0.11958000, SellQuantity:329.60000000, SellType:LONG exit signal 1, Outcome:0.01977600
BuyTime:2021-10-07 03:36:06, BuyPrice:0.11969000, BuyQuantity:329.60000000, BuyType:LONG entry signal 1, SellTime:2021-10-07 03:42:29, SellPrice:0.11921000, SellQuantity:329.60000000, SellType:LONG exit stop-loss, Outcome:-0.15820800
BuyTime:2021-10-07 08:22:07, BuyPrice:0.11470000, BuyQuantity:329.60000000, BuyType:LONG entry signal 1, SellTime:2021-10-07 08:35:06, SellPrice:0.11424000, SellQuantity:329.60000000, SellType:LONG exit stop-loss, Outcome:-0.15161600
BuyTime:2021-10-07 08:53:05, BuyPrice:0.11506000, BuyQuantity:329.60000000, BuyType:LONG entry signal 1, SellTime:2021-10-07 08:53:10, SellPrice:0.11507000, SellQuantity:329.60000000, SellType:LONG exit signal 1, Outcome:0.00329600
BuyTime:2021-10-07 08:55:14, BuyPrice:0.11527000, BuyQuantity:329.60000000, BuyType:LONG entry signal 1, SellTime:2021-10-07 09:01:26, SellPrice:0.11434000, SellQuantity:329.60000000, SellType:LONG exit signal 1, Outcome:-0.30652800
BuyTime:2021-10-07 09:59:09, BuyPrice:0.11423000, BuyQuantity:329.60000000, BuyType:LONG entry signal 1, SellTime:2021-10-07 10:21:09, SellPrice:0.11510000, SellQuantity:329.60000000, SellType:LONG exit signal 1, Outcome:0.28675200
BuyTime:2021-10-07 15:28:06, BuyPrice:0.11414000, BuyQuantity:350.20000000, BuyType:LONG entry signal 1, SellTime:2021-10-07 15:50:35, SellPrice:0.11430000, SellQuantity:350.20000000, SellType:LONG exit signal 1, Outcome:0.05603200
BuyTime:2021-10-07 16:01:06, BuyPrice:0.11514000, BuyQuantity:347.10000000, BuyType:LONG entry signal 1, SellTime:2021-10-07 16:03:19, SellPrice:0.11468000, SellQuantity:347.10000000, SellType:LONG exit stop-loss, Outcome:-0.15966600
